@relation WDF

@attribute ProfileID numeric
@attribute floor_area numeric
@attribute monthly_income numeric
@attribute total_residents numeric
@attribute roof_material_ENC numeric
@attribute water_access_ENC numeric
@attribute wall_material_ENC numeric
@attribute years_electrified numeric
@attribute AMC_winter numeric
@attribute AMC_yearly numeric
@attribute sigma1 numeric
@attribute sigma2 numeric
@attribute mu1 numeric
@attribute A1 numeric
@attribute sigma3 numeric
@attribute sigma4 numeric
@attribute mu2 numeric
@attribute A2 numeric

@data
600,32,2678.57,4,4,2,5,3,154.611311,124.608889,0.8,1.123596,6,2.196263,1.860465,2.564103,19,1.356393
606,77,1488.1,2,4,2,5,3,79.841663,62.686062,0.594059,1.428571,6,1.417479,2.105263,1.818182,19,1.129741
611,54,2976.19,3,4,2,5,3,299.484609,295.807464,1.724138,1.818182,9,1.229246,1.935484,1.515152,19,3.218471
612,99,2678.57,5,4,2,5,3,103.359769,96.620175,0.60241,0.697674,6,1.115821,3.589744,2.051282,20,0.581035
615,40,1488.1,4,4,2,5,3,181.996799,156.863208,0.930233,1.632653,6,3.19975,1.428571,1.515152,19,4.731065
618,70,1488.1,4,4,2,5,3,118.689075,126.087504,3.2,4.102564,4,0.469766,3.076923,5,20,0.465804
620,35,2976.19,3,4,2,5,3,66.228074,57.752006,1.851852,2.777778,8,0.82332,2.857143,1.702128,20,1.126921
622,99,892.86,2,4,2,5,3,114.174159,81.198558,1.075269,1.153846,6,1.963985,2.702703,1.269841,20,1.667269
625,84,2380.95,10,4,2,5,3,500.288691,413.324823,0.877193,1.935484,6,3.459209,1.764706,2.040816,19,6.186246
627,120,2380.95,3,4,2,2,3,164.082662,146.675212,0.518135,0.689655,6,1.683995,2.040816,1.627907,17,2.555404
632,77,2380.95,9,4,2,5,3,108.074904,91.383944,0.727273,0.540541,7,1.504299,1.538462,2.325581,19,1.795101
633,80,1398.81,3,4,2,5,3,108.445353,94.116597,5.714286,2,3,0.140726,0.020082,2.857143,21,0.176934
635,40,4464.29,5,4,2,5,3,98.022329,375.881728,0.522876,0.731707,5,1.22208,1.818182,1.15942,20,2.434822
637,90,1041.67,1,4,2,1,3,100.520623,63.997303,0.842105,0.909091,7,1.083376,2.5,1.518987,18,1.854803
639,120,2976.19,3,4,2,5,3,112.71265,90.939951,0.792079,0.487805,6,1.511627,1.538462,2.727273,18,1.562725
640,120,2589.29,3,4,2,5,3,484.598014,345.306729,1.73913,1.509434,7,5.685315,3.684211,1.066667,20,5.364119
646,216,5952.38,5,4,2,5,3,133.196953,147.976114,1.403509,0.39604,7,0.667279,1.538462,2.222222,19,2.164179
647,140,2380.95,3,4,2,5,3,135.152505,125.630324,1.230769,0.681818,7,0.937567,1.6,2.325581,19,1.617534
662,208,7440.48,6,4,3,6,5,824.481133,620.153262,1.311475,2.666667,7,8.309439,1.333333,2.5,17,13.711715
663,144,0,1,4,3,6,11,536.437505,466.25053,0.48,2.727273,9,5.686001,0.512821,0.504202,18,0.645658
664,132,1398.81,1,4,3,6,5,752.499056,308.284963,0.917431,1.538462,7,8.164306,1.785714,1.818182,19,8.790484
667,255,11904.76,5,4,3,6,7,1452.853307,890.279643,0.740741,1.666667,6,20.476457,4.666667,2.12766,19,14.845556
673,306,16369.05,10,4,3,2,27,1832.653328,1108.697706,1.086957,2.222222,6,8.996724,4.705882,1.818182,20,13.356511
674,216,18764.88,5,4,3,2,13,1396.453433,949.660653,1.369863,2.857143,7,7.969871,2.692308,2.564103,19,17.633068
682,135,9226.19,4,4,3,2,3,791.642273,596.954559,0.583942,2.413793,6,6.730764,1.395349,2.142857,18,8.498042
686,96,13467.26,5,7,3,2,5,679.979646,514.228133,2.666667,2.285714,10,3.586951,3.076923,2.702703,19,7.108154
688,324,14880.95,5,4,3,2,2,967.579575,730.402563,0.895522,1.304348,5,7.032128,1.132075,2.5,18,8.307081
689,224,11904.76,4,4,3,2,2,995.914918,768.177542,0.613497,0.9375,7,16.309827,1.276596,1.960784,19,13.009444
697,210,0,3,4,3,6,18,1168.604288,780.78993,1.967213,2.222222,8,12.861524,1.714286,1.904762,18,13.167384
698,180,7440.48,5,7,3,2,34,933.90408,640.575024,1.043478,4,7,9.342099,3.703704,2.608696,18,8.289713
701,240,0,9,7,3,6,5,2497.824512,1142.263101,0.78125,1.758242,6,14.663564,2.702703,1.568627,20,13.455404
704,143,2797.62,2,4,3,2,5,1045.980508,610.678454,0.754717,1.935484,6,7.634188,1.666667,1.25,20,5.939288
705,143,4761.9,5,4,3,6,5,1178.673854,747.582103,0.695652,2.5,6,12.743119,2.702703,3,16,9.038973
712,195,14880.95,3,4,3,6,18,1114.010099,910.143636,1.111111,2.857143,7,11.364319,3.589744,1.587302,19,12.033761
717,182,3779.76,3,4,3,6,23,552.47035,534.769792,2.857143,2.5,10,5.8385,2.631579,2.5,19,6.747826
718,210,22916.67,4,4,3,2,5,802.389087,834.832782,2.142857,2.758621,6,8.783835,2.051282,1.395349,18,9.975854
720,323,17857.14,4,7,3,6,20,735.532254,609.194856,0.97561,3.030303,6,5.315818,3.636364,1.470588,19,8.596367
721,225,13392.86,5,4,3,6,12,956.188289,810.102221,0.747664,2.564103,7,7.04654,2.727273,1.363636,21,9.894152
729,72,2648.81,6,4,2,4,2,166.496762,69.54668,0.674157,2.051282,6,0.420556,1.538462,2.222222,19,1.428641
