@relation 'WDF-weka.filters.unsupervised.attribute.Reorder-R1,2,3,4,5,6,7,8,9,10,11,13,14,12'

@attribute ProfileID numeric
@attribute floor_area numeric
@attribute monthly_income numeric
@attribute total_residents numeric
@attribute roof_material_ENC numeric
@attribute water_access_ENC numeric
@attribute wall_material_ENC numeric
@attribute years_electrified numeric
@attribute AMC_winter numeric
@attribute AMC_yearly numeric
@attribute mu1 numeric
@attribute mu2 numeric
@attribute A1 numeric

@data
1000578,38,1443.3,3,4,2,1,8,346.913606,286.921535,7,19,2.022572
12008531,59,2244.9,8,4,3,6,26,799.008499,419.852558,6,21,4.032341
1002669,37,1532.42,2,0,2,6,7,283.085227,171.837171,5,18,1.953733
12008301,59,10714.29,4,0,3,6,30,358.486451,224.471243,6,20,3.207738
1004232,56,4078.95,10,4,2,6,10,98.118739,72.833368,7,19,1.431177
12003916,91,2668.46,5,4,3,6,14,490.545927,468.994056,5,19,3.194659
12025392,226,13477.27,5,4,2,6,10,502.558235,606.668948,6,18,1.8975
10626,78,10893.25,6,7,3,6,1,643.573959,465.780225,10,19,3.741691
12003344,112,1388.14,0,4,3,6,13,430.827746,570.633028,4,19,0.912689
12027918,55,6818.18,4,7,3,6,8,425.852433,315.779849,6,20,2.561559
1005709,123,3616.35,7,4,2,6,6,390.288852,295.161788,8,18,4.61203
4536,500,39787.8,5,7,3,2,9,684.87012,421.069089,8,19,5.405857
10404,84,566.45,5,4,0,4,6,85.134317,51.707996,7,19,1.270356
640,120,2589.29,3,4,2,5,3,484.598014,345.306729,7,20,5.685315
12003409,100,6738.54,4,4,2,1,1,120.024568,133.881588,5,20,1.38642
292,50,2777.78,19,0,3,2,14,95.990266,164.059296,8,21,0.845493
4109,56,0,3,1,3,1,9,679.468713,560.465998,7,18,7.349722
7663,96,4761.9,7,0,0,1,5,350.767034,257.591651,6,18,3.394693
1000693,75,7216.49,8,0,2,1,5,547.692615,391.236438,4,18,9.353734
12003539,52,2237.2,4,4,2,2,8,266.843393,168.569417,6,18,1.956417
809,49,2559.52,4,4,3,2,10,123.421478,60.709934,6,19,3.095051
12002243,116,5657.71,10,4,2,1,10,637.174419,607.599962,9,19,4.225758
1005539,300,133647.8,2,7,3,6,5,1800.725717,1217.224223,7,19,2.206681
12001472,56,353.61,4,4,0,2,3,358.312502,328.342664,6,18,2.818023
12006594,63,2270.41,3,4,2,1,1,249.115273,143.107455,7,18,2.463655
783,48,1190.48,4,4,2,4,20,191.014306,119.310428,6,19,1.759656
842,120,13927.58,2,4,3,2,3,500.251588,356.918507,9,21,4.118439
1004451,520,131580.83,3,3,3,6,1,2062.539236,604.630367,9,14,12.529288
12001762,87,2942.01,6,4,2,6,1,186.08041,175.62487,6,18,1.170455
12002811,118,2828.85,3,4,2,1,15,252.810772,233.793162,10,18,1.285659
4662,250,19893.9,4,7,3,2,5,584.22637,526.619731,6,20,8.796304
119,28,1114.21,3,4,2,1,4,105.706782,89.147359,6,19,1.133526
1002655,16,1532.42,3,4,2,6,9,119.285027,316.226416,6,19,0.7647
1003807,80,19736.84,3,7,3,6,7,448.615708,285.041436,7,19,1.072718
10413,42,1350.76,4,4,0,4,6,113.723114,113.167231,6,18,2.754399
1004056,36,3421.05,2,4,2,6,9,291.788727,218.068348,5,18,2.16319
12025361,44,3068.18,1,7,2,6,11,159.66302,179.443612,7,18,1.281253
3055,120,5305.04,4,7,3,2,1,610.999139,529.528436,6,18,1.98491
3160,115,42713.57,2,7,3,2,2,614.325784,316.206371,7,22,9.604205
856,190,16713.09,4,7,3,2,5,391.551236,395.710232,6,20,7.702932
857,190,33426.18,5,7,3,6,5,621.137621,570.271921,7,19,8.364613
10479,47,283.22,7,4,0,1,7,198.005997,192.42728,7,20,1.091172
1005608,650,216194.97,1,7,3,6,6,463.045622,160.071146,7,20,2.279249
1005802,46,471.7,5,7,3,2,20,313.766894,253.349001,6,20,2.381184
4051,48,12663.32,6,0,3,1,19,505.694687,361.422765,6,18,5.879755
1006081,111,3946.54,6,4,3,6,12,74.27944,58.98958,7,19,0.758967
12024460,54,28409.09,5,0,3,3,5,208.691308,208.365844,5,18,2.469624
12025981,35,6386.36,7,4,2,6,18,501.980087,450.01968,9,19,3.771207
12005788,65,867.35,2,4,3,1,2,80.489289,51.915401,9,18,1.135913
12009007,81,0,0,4,2,3,19,222.13251,146.756567,6,18,2.50641
1004327,57,1541.35,1,4,2,6,3,155.670318,96.051157,6,19,0.372643
12003487,169,1078.17,1,4,2,1,10,181.43265,227.970292,6,19,0.461098
779,67,1190.48,6,4,3,4,20,77.86048,122.235272,6,19,3.947649
885,252,22284.12,3,7,3,2,9,971.320412,621.407814,8,20,6.676238
