@relation WDF

@attribute ProfileID numeric
@attribute floor_area numeric
@attribute monthly_income numeric
@attribute total_residents numeric
@attribute roof_material_ENC numeric
@attribute water_access_ENC numeric
@attribute wall_material_ENC numeric
@attribute years_electrified numeric
@attribute AMC_winter numeric
@attribute AMC_yearly numeric
@attribute mu1 numeric
@attribute mu2 numeric
@attribute A2 numeric

@data
640,120,2589.29,3,4,2,5,3,484.598014,345.306729,7,20,5.364119
646,216,5952.38,5,4,2,5,3,133.196953,147.976114,7,19,2.164179
647,140,2380.95,3,4,2,5,3,135.152505,125.630324,7,19,1.617534
662,208,7440.48,6,4,3,6,5,824.481133,620.153262,7,17,13.711715
663,144,0,1,4,3,6,11,536.437505,466.25053,9,18,0.645658
664,132,1398.81,1,4,3,6,5,752.499056,308.284963,7,19,8.790484
667,255,11904.76,5,4,3,6,7,1452.853307,890.279643,6,19,14.845556
673,306,16369.05,10,4,3,2,27,1832.653328,1108.697706,6,20,13.356511
674,216,18764.88,5,4,3,2,13,1396.453433,949.660653,7,19,17.633068
682,135,9226.19,4,4,3,2,3,791.642273,596.954559,6,18,8.498042
686,96,13467.26,5,7,3,2,5,679.979646,514.228133,10,19,7.108154
688,324,14880.95,5,4,3,2,2,967.579575,730.402563,5,18,8.307081
689,224,11904.76,4,4,3,2,2,995.914918,768.177542,7,19,13.009444
697,210,0,3,4,3,6,18,1168.604288,780.78993,8,18,13.167384
698,180,7440.48,5,7,3,2,34,933.90408,640.575024,7,18,8.289713
701,240,0,9,7,3,6,5,2497.824512,1142.263101,6,20,13.455404
704,143,2797.62,2,4,3,2,5,1045.980508,610.678454,6,20,5.939288
705,143,4761.9,5,4,3,6,5,1178.673854,747.582103,6,16,9.038973
712,195,14880.95,3,4,3,6,18,1114.010099,910.143636,7,19,12.033761
717,182,3779.76,3,4,3,6,23,552.47035,534.769792,10,19,6.747826
718,210,22916.67,4,4,3,2,5,802.389087,834.832782,6,18,9.975854
720,323,17857.14,4,7,3,6,20,735.532254,609.194856,6,19,8.596367
721,225,13392.86,5,4,3,6,12,956.188289,810.102221,7,21,9.894152
729,72,2648.81,6,4,2,4,2,166.496762,69.54668,6,19,1.428641
732,108,3571.43,6,4,0,2,3,303.268433,114.867538,6,16,2.86571
740,72,3571.43,5,4,0,4,27,282.04501,99.171265,6,18,3.709152
742,90,5357.14,5,4,2,4,15,251.369059,77.205146,6,18,4.058619
745,29,1785.71,4,4,2,4,3,1172.395172,535.990581,6,19,8.822968
746,112,1041.67,10,4,0,1,3,217.527437,188.226856,6,17,3.168137
747,90,892.86,5,7,0,1,4,343.196187,221.44359,6,18,3.122359
749,112,5952.38,6,7,3,2,4,209.362359,72.498076,5,19,2.418641
755,67,7142.86,2,4,2,4,3,229.17829,105.301553,6,19,3.61519
758,48,5565.48,3,4,0,1,3,1411.030194,420.936888,8,19,4.356041
759,72,2678.57,5,4,2,1,3,242.773995,99.128039,6,18,3.023046
760,82,5773.81,7,4,0,4,3,431.404964,193.939559,8,19,4.995129
761,55,1190.48,3,4,2,4,3,398.655112,165.694423,8,17,3.740986
763,48,3422.62,1,4,0,4,3,886.870106,464.243768,6,19,6.507302
770,72,4761.9,5,4,0,4,4,543.492939,182.707194,5,19,6.684873
773,54,8035.71,5,4,2,4,15,84.999578,128.957003,6,19,3.329158
777,72,2380.95,6,4,0,4,3,123.62092,54.367681,6,19,2.019261
779,67,1190.48,6,4,3,4,20,77.86048,122.235272,6,19,4.686702
782,90,892.86,5,4,2,4,3,131.710791,119.801203,6,19,1.973794
783,48,1190.48,4,4,2,4,20,191.014306,119.310428,6,19,2.875809
785,29,1785.71,5,4,2,4,3,355.913646,296.894147,6,18,3.689692
790,72,3273.81,5,4,0,4,3,229.206777,73.574684,5,17,1.948688
791,29,2232.14,5,4,2,4,3,185.769274,157.698949,7,17,1.418399
792,48,5773.81,9,4,0,4,3,74.182745,77.786847,6,18,1.082656
799,72,2619.05,3,4,2,1,4,592.398761,228.394428,6,18,8.526439
803,91,1488.1,5,4,3,2,9,139.317987,99.680291,6,15,1.723606
804,56,3125,2,4,2,2,3,281.496407,144.537711,2,20,4.082182
805,120,4761.9,4,4,2,2,3,200.128969,164.471839,7,18,3.44768
809,49,2559.52,4,4,3,2,10,123.421478,60.709934,6,19,2.328365
813,120,2172.62,11,4,2,1,9,124.985894,52.773085,7,19,0.98836
814,49,1785.71,5,4,2,2,5,95.384152,53.364553,7,19,1.43894
816,108,2083.33,2,4,2,2,9,526.19479,128.082603,7,20,7.844899
819,36,2976.19,4,4,2,2,4,996.290623,285.350427,8,18,12.522542
822,63,7440.48,7,4,3,2,9,393.319095,106.530625,7,20,6.889355
826,90,446.43,3,4,2,2,9,243.4996,102.47783,5,19,4.783679
827,35,2380.95,3,4,2,2,4,387.331045,106.362275,8,19,4.086284
830,240,2797.62,2,4,3,2,15,713.301841,837.648229,7,18,6.241726
833,210,7440.48,3,4,3,6,2,658.947959,628.845958,7,18,12.285411
834,195,0,3,4,3,2,28,1023.328004,932.864354,8,18,10.301575
3,210,27855.15,2,4,3,6,2,994.282506,569.030589,7,20,8.28832
4,180,11142.06,2,7,3,2,5,619.423681,404.916203,10,18,5.361145
5,190,27855.15,5,7,3,2,10,884.76718,510.245011,7,20,13.113563
6,190,22284.12,3,7,3,6,1,538.049648,331.499595,7,17,5.87336
10,80,15320.33,5,0,3,2,13,554.679979,405.133445,6,17,4.47715
11,80,1309.19,3,0,3,2,14,605.951366,421.836118,9,17,6.76802
12,80,5571.03,1,0,3,2,13,249.52274,200.98027,4,20,1.427355
14,70,12451.25,6,0,2,2,6,528.844564,472.252682,8,17,6.284968
16,80,2618.38,7,0,3,2,6,971.023747,615.621167,5,17,7.085506
17,70,4094.71,5,0,3,2,6,788.21495,631.112013,6,16,8.10954
19,80,2618.38,6,0,3,2,4,177.198525,157.806094,6,18,2.025827
22,80,5571.03,3,0,3,2,13,541.374755,410.725031,5,18,3.809772
25,70,5292.48,4,0,3,2,12,211.624726,119.423261,9,17,3.284395
26,80,1309.19,11,0,2,2,2,602.168032,445.079365,5,18,8.492182
28,80,9749.3,11,0,3,2,2,674.020419,466.731096,5,16,5.114877
32,80,1309.19,6,0,3,2,7,905.20804,537.238015,5,18,9.341282
33,70,4178.27,2,0,3,2,16,755.98125,513.585766,8,18,8.655988
34,80,6963.79,6,0,3,2,6,398.867288,265.629109,9,18,3.658594
35,80,6963.79,6,0,3,2,11,568.31059,396.428478,5,18,6.25017
37,150,3621.17,8,0,3,2,7,1029.352305,647.551226,6,18,14.314771
40,81,3342.62,7,0,0,4,3,300.699826,146.647486,6,18,2.946519
41,110,696.38,7,4,0,1,14,148.421924,137.82905,6,19,1.456149
42,42,668.52,13,4,0,4,3,227.820869,273.178014,6,18,1.170625
51,96,3064.07,5,4,2,4,3,489.254932,399.206453,5,16,6.6455
53,66,3342.62,8,4,0,1,3,169.484295,138.071463,5,18,1.417198
60,63,696.38,6,4,0,1,3,155.422957,164.010573,9,13,0.223944
61,30,696.38,10,4,0,2,3,164.15411,151.166682,3,17,1.522428
86,70,13924.79,4,4,2,5,3,310.462389,335.976341,7,19,4.541333
87,32,2228.41,5,4,2,5,3,130.582856,116.566958,6,18,2.019364
89,40,5849.58,7,4,2,5,2,96.779935,78.841109,6,20,0.994566
94,64,1253.48,3,4,2,2,4,95.609816,85.670241,6,20,0.415362
95,77,1559.89,4,4,2,8,3,225.962656,186.008565,6,18,2.990398
100,70,2228.41,7,4,2,5,4,283.380522,225.70618,7,18,3.132705
101,80,1671.31,3,4,2,1,2,100.097123,78.398386,6,18,1.367314
