@relation 'combine_winter_dataframe-weka.filters.unsupervised.attribute.Reorder-R1,2,3,4,5,6,7,8,9,10,11,12,14,13'

@attribute ProfileID numeric
@attribute floor_area numeric
@attribute monthly_income numeric
@attribute total_residents numeric
@attribute roof_material_ENC numeric
@attribute water_access_ENC numeric
@attribute wall_material_ENC numeric
@attribute years_electrified numeric
@attribute Province_ENC numeric
@attribute AMC_winter numeric
@attribute AMC_yearly numeric
@attribute mu1 numeric
@attribute mu2 numeric
@attribute A1 numeric

@data
378,54,1132.69,4,4,2,4,1,3,133.760732,146.982825,7,18,1.505528
464,15,6148.87,3,4,2,5,3,1,78.915982,74.960162,6,19,2.002917
467,36,6472.49,4,0,3,1,3,1,129.178381,123.710833,6,19,0.701112
468,42,3236.25,4,0,3,1,3,1,153.135017,131.074394,8,18,1.262132
469,42,1003.24,4,0,3,1,3,1,334.971858,268.072349,6,19,1.869214
478,36,2589,4,4,3,5,2,1,73.441228,62.726035,7,20,2.348197
481,140,9061.49,5,4,2,2,1,1,91.92053,91.92053,6,17,1.732618
489,150,2589,5,4,2,2,3,1,396.199342,383.705122,5,18,7.298639
491,27,1132.69,5,4,2,2,12,1,154.36907,125.135761,8,19,3.936972
497,15,1132.69,6,4,2,5,2,1,135.966924,117.776399,7,20,1.611811
502,42,291.26,8,4,2,5,2,1,315.822953,315.822953,6,18,8.765031
504,36,0,5,4,2,5,3,1,229.445923,229.445923,6,19,6.3308
505,36,0,6,4,2,5,2,1,165.079789,165.079789,8,19,2.651942
508,175,1779.94,3,4,2,2,3,1,118.527557,118.527557,6,19,1.606686
515,80,15210.36,6,0,2,1,1,1,92.035766,73.082609,7,19,0.86332
519,48,0,5,4,3,2,3,1,76.221812,64.971433,7,19,1.062554
590,88,1339.29,6,4,2,8,4,0,355.141613,306.89463,6,18,3.141682
592,88,8928.57,4,4,2,5,3,0,475.959169,427.87598,6,19,4.087969
593,35,2976.19,4,4,2,5,3,0,175.47402,155.704377,6,19,1.841562
594,78,4464.29,4,4,2,5,3,0,165.76691,150.465979,7,18,1.649524
595,120,23809.52,6,4,2,5,4,0,84.616501,73.43813,6,19,1.323226
596,40,2083.33,5,4,2,5,3,0,122.841185,103.208835,9,19,0.754574
597,40,892.86,2,4,2,5,3,0,65.569081,60.773088,6,19,1.083006
599,40,2083.33,3,4,2,1,3,0,117.390966,100.634594,8,20,0.166718
600,32,2678.57,4,4,2,5,3,0,154.611311,124.608889,6,19,2.196263
606,77,1488.1,2,4,2,5,3,0,79.841663,62.686062,6,19,1.417479
611,54,2976.19,3,4,2,5,3,0,299.484609,295.807464,9,19,1.229246
612,99,2678.57,5,4,2,5,3,0,103.359769,96.620175,6,20,1.115821
615,40,1488.1,4,4,2,5,3,0,181.996799,156.863208,6,19,3.19975
