,Morning,Morning,Morning,Morning,Afternoon,Afternoon,Afternoon,Afternoon
,sigma1,sigma2,mu1,A1,sigma3,sigma4,mu2,A2
ProfileID,,,,,,,,
4601,1.395348837209307,2.9411764705882355,8,18.182559414841666,2.5806451612903225,2.040816326530619,19,16.575712641793874
4607,1.7857142857142916,4.000000000000001,9,15.099042711374558,2.5000000000000004,1.818181818181824,20,14.625655789414182
4608,1.904761904761911,6.666666666666668,9,13.814471957960896,3.0769230769230793,2.0512820512820515,20,11.434497023558839
4693,2.5641025641025643,1.0169491525423762,7,2.7064059643315934,1.1111111111111116,1.7777777777777835,20,6.345706911804634
5259,1.31147540983607,3.7837837837837838,7,7.128514169517791,2.4000000000000075,2.7777777777777777,19,10.718814885835895
5289,0.6400000000000018,2.0512820512820515,7,5.10170848285628,1.5789473684210527,1.842105263157901,17,5.652941346265408
5303,1.2500000000000042,2.6086956521739215,8,9.900755226462444,2.162162162162162,1.666666666666672,20,4.793356039242931
5381,1.395348837209307,3.2000000000000104,7,8.318765207980842,2.27272727272728,2.040816326530619,19,7.735384154121906
5496,2.2222222222222294,5.714285714285715,9,5.111862725639193,2.222222222222222,2.2222222222222294,19,7.03854652981327
7208,0.9677419354838739,3.888888888888889,7,9.627597580688747,2.173913043478268,2.105263157894744,18,13.312023243623791
7217,1.0101010101010135,4.0,8,15.569408778974903,4.545454545454547,1.666666666666672,20,15.451895266052194
7219,1.5789473684210578,1.8867924528301947,8,8.181811466807794,1.9230769230769293,2.000000000000006,19,11.202382029190458
7223,1.8181818181818241,5.00000000000001,9,7.188805891441408,2.857142857142859,3.000000000000001,16,8.7689375011753
7225,0.7547169811320781,2.43902439024391,6,7.303448303212123,1.5384615384615385,2.3809523809523885,19,8.148223498011335
7227,1.1428571428571466,3.75,7,13.643806444155791,2.222222222222223,3.076923076923077,18,10.397367469468286
7233,2.500000000000008,3.5714285714285716,10,15.739188894358739,3.000000000000001,2.857142857142857,19,14.276532219009402
7242,2.2222222222222294,1.5384615384615434,10,8.730291771967984,3.4482758620689653,1.5384615384615385,21,12.418998882267603
10718,0.7058823529411788,3.68421052631579,6,6.782136546184741,1.5384615384615385,2.7906976744186136,18,8.434848644578315
10719,1.9672131147541048,1.7647058823529411,10,5.717468670135086,1.9354838709677418,4.137931034482758,18,8.899414574966535
10745,1.4492753623188455,2.666666666666675,6,14.19986782420478,3.4285714285714284,2.0512820512820515,20,12.729376364577451
10818,0.5031446540880499,2.142857142857143,6,7.685732888040713,3.0769230769230793,2.27272727272728,19,9.982574427480916
11140,1.0666666666666702,3.0000000000000093,7,8.73183071196393,2.222222222222226,1.5384615384615385,21,10.15107324106113
11141,1.666666666666672,1.5909090909090962,8,11.379377986348125,1.176470588235298,3.076923076923077,18,10.670353242320822
11145,1.5789473684210578,3.4482758620689653,8,13.771940615615616,3.0769230769230775,2.500000000000008,18,15.057861411411409
11146,1.5384615384615437,2.857142857142857,7,5.829659836065577,2.5806451612903225,1.1428571428571466,20,16.820253187613844
11151,2.068965517241386,2.727272727272728,9,5.918318140956492,2.2857142857142856,3.0769230769230775,20,8.5251380798274
11155,1.1363636363636402,4.666666666666667,8,10.098497881355932,3.4482758620689653,2.173913043478268,19,10.67543608757062
11163,0.845070422535214,0.7843137254901986,7,6.944986328125001,2.2857142857142856,2.3809523809523885,19,12.442716927083334
11170,2.08333333333334,2.3529411764705883,8,7.856950635593218,2.5531914893617103,2.1276595744680917,19,18.6739311440678
11179,1.1650485436893243,1.25,7,8.349670470262794,1.3043478260869608,2.7777777777777777,19,11.423827800829876
11182,1.3698630136986347,1.2903225806451613,7,6.135952420470263,1.4285714285714286,2.9787234042553288,17,10.21828713692946
11186,1.1538461538461575,3.333333333333333,7,7.513709027777779,2.7777777777777777,3.225806451612903,19,10.743265972222222
11199,1.9672131147541048,1.7777777777777835,8,7.525250691562933,2.0,2.6315789473684212,19,7.534113070539419
11207,0.7594936708860754,2.692307692307701,8,9.97254066985646,1.666666666666672,2.08333333333334,19,15.295872408293462
1000948,3.3333333333333366,0.7407407407407433,3,0.1722355072463735,3.333333333333344,8.333333333333336,14,3.5645724637681155
