@relation 'combine_winter_dataframe-weka.filters.unsupervised.attribute.Reorder-R1,2,3,4,5,6,7,8,9,10,11,13,14,15,16,12'

@attribute ProfileID numeric
@attribute floor_area numeric
@attribute monthly_income numeric
@attribute total_residents numeric
@attribute roof_material_ENC numeric
@attribute water_access_ENC numeric
@attribute wall_material_ENC numeric
@attribute years_electrified numeric
@attribute Province_ENC numeric
@attribute AMC_winter numeric
@attribute AMC_yearly numeric
@attribute mu1 numeric
@attribute A1 numeric
@attribute mu2 numeric
@attribute A2 numeric
@attribute sigma2 numeric

@data
370,58,4530.74,4,4,2,4,1,3,107.820176,108.675581,6,3.003068,18,1.755777,1.263158
371,56,2912.62,5,4,2,4,1,3,76.265797,61.889871,8,0.86009,18,1.551774,1.025641
376,90,4207.12,8,4,0,4,1,3,97.358558,152.70531,6,0.858673,18,2.324684,1.538462
378,54,1132.69,4,4,2,4,1,3,133.760732,146.982825,7,1.505528,18,2.466031,0.634921
464,15,6148.87,3,4,2,5,3,1,78.915982,74.960162,6,2.002917,19,1.789544,1.411765
467,36,6472.49,4,0,3,1,3,1,129.178381,123.710833,6,0.701112,19,2.143187,1.538462
468,42,3236.25,4,0,3,1,3,1,153.135017,131.074394,8,1.262132,18,2.873117,1.025641
469,42,1003.24,4,0,3,1,3,1,334.971858,268.072349,6,1.869214,19,1.622885,2.5
478,36,2589,4,4,3,5,2,1,73.441228,62.726035,7,2.348197,20,2.300394,0.625
481,140,9061.49,5,4,2,2,1,1,91.92053,91.92053,6,1.732618,17,1.325873,2.162162
489,150,2589,5,4,2,2,3,1,396.199342,383.705122,5,7.298639,18,7.570958,0.789474
491,27,1132.69,5,4,2,2,12,1,154.36907,125.135761,8,3.936972,19,3.506826,1.684211
497,15,1132.69,6,4,2,5,2,1,135.966924,117.776399,7,1.611811,20,4.119326,0.677966
502,42,291.26,8,4,2,5,2,1,315.822953,315.822953,6,8.765031,18,8.533664,3.076923
504,36,0,5,4,2,5,3,1,229.445923,229.445923,6,6.3308,19,7.599981,2.051282
505,36,0,6,4,2,5,2,1,165.079789,165.079789,8,2.651942,19,2.656647,1.578947
508,175,1779.94,3,4,2,2,3,1,118.527557,118.527557,6,1.606686,19,3.17202,1.923077
515,80,15210.36,6,0,2,1,1,1,92.035766,73.082609,7,0.86332,19,1.254116,1.038961
519,48,0,5,4,3,2,3,1,76.221812,64.971433,7,1.062554,19,1.225336,0.792079
590,88,1339.29,6,4,2,8,4,0,355.141613,306.89463,6,3.141682,18,4.034899,1.090909
592,88,8928.57,4,4,2,5,3,0,475.959169,427.87598,6,4.087969,19,4.315028,2.040816
593,35,2976.19,4,4,2,5,3,0,175.47402,155.704377,6,1.841562,19,3.368607,0.606061
594,78,4464.29,4,4,2,5,3,0,165.76691,150.465979,7,1.649524,18,2.895828,0.816327
595,120,23809.52,6,4,2,5,4,0,84.616501,73.43813,6,1.323226,19,1.047539,1.702128
596,40,2083.33,5,4,2,5,3,0,122.841185,103.208835,9,0.754574,19,1.796322,2.666667
597,40,892.86,2,4,2,5,3,0,65.569081,60.773088,6,1.083006,19,1.049784,0.45977
599,40,2083.33,3,4,2,1,3,0,117.390966,100.634594,8,0.166718,20,0.605079,0.062696
