@relation WDF_large_small_R

@attribute ProfileID numeric
@attribute floor_area numeric
@attribute monthly_income numeric
@attribute total_residents numeric
@attribute roof_material {Asbestos,Tiles,Plastic,Blocks,IBR/Corr.Iron/Zinc,Concrete,'Wood/Masonite board',Thatch/Grass}
@attribute water_access {'tap inside house','tap in yard','nearby river/dam/borehole','block/street taps'}
@attribute wall_material {Brick,Blocks,Asbestos,Plaster,Daub/Mud/Clay,IBR/Corr.Iron/Zinc,'Wood/Masonite board',Plastic,Concrete}
@attribute years_electrified numeric
@attribute Province {WC,KZN,EC,GP,FS,LIM,NC,NW,MP}
@attribute AMC_winter numeric
@attribute AMC_yearly numeric
@attribute mu1 numeric
@attribute mu2 numeric
@attribute A2 numeric

@data
592,88,8928.57,4,IBR/Corr.Iron/Zinc,'tap in yard',IBR/Corr.Iron/Zinc,3,EC,475.959169,427.87598,6,19,4.315028
593,35,2976.19,4,IBR/Corr.Iron/Zinc,'tap in yard',IBR/Corr.Iron/Zinc,3,EC,175.47402,155.704377,6,19,3.368607
594,78,4464.29,4,IBR/Corr.Iron/Zinc,'tap in yard',IBR/Corr.Iron/Zinc,3,EC,165.76691,150.465979,7,18,2.895828
595,120,23809.52,6,IBR/Corr.Iron/Zinc,'tap in yard',IBR/Corr.Iron/Zinc,4,EC,84.616501,73.43813,6,19,1.047539
596,40,2083.33,5,IBR/Corr.Iron/Zinc,'tap in yard',IBR/Corr.Iron/Zinc,3,EC,122.841185,103.208835,9,19,1.796322
597,40,892.86,2,IBR/Corr.Iron/Zinc,'tap in yard',IBR/Corr.Iron/Zinc,3,EC,65.569081,60.773088,6,19,1.049784
599,40,2083.33,3,IBR/Corr.Iron/Zinc,'tap in yard',Blocks,3,EC,117.390966,100.634594,8,20,0.605079
600,32,2678.57,4,IBR/Corr.Iron/Zinc,'tap in yard',IBR/Corr.Iron/Zinc,3,EC,154.611311,124.608889,6,19,1.356393
606,77,1488.1,2,IBR/Corr.Iron/Zinc,'tap in yard',IBR/Corr.Iron/Zinc,3,EC,79.841663,62.686062,6,19,1.129741
611,54,2976.19,3,IBR/Corr.Iron/Zinc,'tap in yard',IBR/Corr.Iron/Zinc,3,EC,299.484609,295.807464,9,19,3.218471
612,99,2678.57,5,IBR/Corr.Iron/Zinc,'tap in yard',IBR/Corr.Iron/Zinc,3,EC,103.359769,96.620175,6,20,0.581035
615,40,1488.1,4,IBR/Corr.Iron/Zinc,'tap in yard',IBR/Corr.Iron/Zinc,3,EC,181.996799,156.863208,6,19,4.731065
618,70,1488.1,4,IBR/Corr.Iron/Zinc,'tap in yard',IBR/Corr.Iron/Zinc,3,EC,118.689075,126.087504,4,20,0.465804
620,35,2976.19,3,IBR/Corr.Iron/Zinc,'tap in yard',IBR/Corr.Iron/Zinc,3,EC,66.228074,57.752006,8,20,1.126921
622,99,892.86,2,IBR/Corr.Iron/Zinc,'tap in yard',IBR/Corr.Iron/Zinc,3,EC,114.174159,81.198558,6,20,1.667269
